xzqhdm,xzqhmc,pc,mc,lx,sd,dz,lon,lat
530000,云南省,第一批,崇圣寺三塔,古建筑,唐、五代,云南省大理白族自治州大理市,100.146223770605,25.7086512421811
530000,云南省,第一批,太和城遗址,古遗址,南诏（公元649&mdash;902年）,云南省大理白族自治州大理市,100.179637286383,25.6104806711103
630000,青海省,第一批,塔尔寺,古建筑,明,青海省湟中县,101.565799495418,36.4896728049868
510000,四川省,第一批,泸定桥,近现代重要史迹及代表性建筑,1935年,四川省甘孜藏族自治州泸定县,102.230793320999,29.9146051187417
620000,甘肃省,第一批,万里长城－嘉峪关,古建筑,明,甘肃省酒泉市,102.449095262822,38.0967178518178
620000,甘肃省,第一批,重修护国寺感应塔碑（西夏碑）,石窟寺及石刻,西夏（公元1032－1227年）,甘肃省武威县,102.642708088467,37.9230140840111
510000,四川省,第一批,宝顶山摩崖造象,石窟寺及石刻,宋,四川省大足县,102.891036318326,30.3646363261067
510000,四川省,第一批,高颐墓阙及石刻,古建筑,东汉,四川省雅安县,103.0009826805,29.9966023927847
620000,甘肃省,第一批,炳灵寺石窟,石窟寺及石刻,北魏至明,甘肃省临夏回族自治州临夏市,103.191917578286,35.5798873046859
510000,四川省,第一批,峨眉山圣寿万年寺铜铁佛像,石窟寺及石刻,宋至明,四川省峨眉县,103.381731075542,29.5821083032484
530000,云南省,第一批,爨龙颜碑,石窟寺及石刻,南朝,云南省陆良县,103.68649026098,24.9251464340459
530000,云南省,第一批,爨宝子碑,石窟寺及石刻,东晋,云南省曲靖县,103.798704098887,25.4925085089677
530000,云南省,第一批,段氏与三十七部会盟碑,石窟寺及石刻,大理（公元937－1094年）,云南省曲靖县,103.800580182203,25.4926676396143
510000,四川省,第一批,杜甫草堂,古建筑,清,四川省成都市,104.02502111144,30.6643617766704
510000,四川省,第一批,王建墓,古墓葬,五代前蜀,四川省成都市,104.044712002411,30.6758086727152
510000,四川省,第一批,武侯祠,古建筑,清,四川省成都市,104.046966259062,30.6471984815003
510000,四川省,第一批,平阳府君阙,古建筑,东汉,四川省绵阳县,104.696243764162,31.5012502776537
510000,四川省,第一批,皇泽寺摩崖造象,石窟寺及石刻,唐,四川省广元县,105.809180627782,32.4437994172433
510000,四川省,第一批,广元千佛崖摩崖造象,石窟寺及石刻,唐、宋,四川省广元县,105.842768162328,32.473479926127
